id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
698;Jeux Vidéo;1;"Quel acteur américain double Cave Johnson, PDG d'Aperture Science ?";"Aperture Science CEO Cave Johnson is voiced by which American actor?";"A) Nolan North | B) J.K. Simmons | C) John Patrick Lowrie | D) Christopher Lloyd";"A) Nolan North | B) J.K. Simmons | C) John Patrick Lowrie | D) Christopher Lloyd";"B";"J.K. Simmons double Cave Johnson dans Portal 2.";"J.K. Simmons voices Cave Johnson in Portal 2.";"OpenTDB"
699;Jeux Vidéo;1;"Comment s'appelle le protagoniste de Half-Life 2 ?";"The protagonist of the hit game, Half-Life 2 is called:";"A) Alyx Vance | B) Gordon Freeman | C) Isaac Kleiner | D) Wallace Breen";"A) Alyx Vance | B) Gordon Freeman | C) Isaac Kleiner | D) Wallace Breen";"B";"Gordon Freeman est un physicien devenu héros de la résistance.";"Gordon Freeman is a physicist turned resistance hero.";"OpenTDB"
700;Jeux Vidéo;1;"Quel est le pistolet de départ des Terroristes dans CS:GO ?";"The starting pistol of the Terrorist team in CS:GO is what?";"A) Tec-9 | B) Glock-18 | C) Desert Eagle | D) Dual Berettas";"A) Tec-9 | B) Glock-18 | C) Desert Eagle | D) Dual Berettas";"B";"Les Terroristes commencent avec le Glock-18.";"Terrorists start with the Glock-18.";"OpenTDB"
701;Jeux Vidéo;1;"Qui est le meilleur ami de Sonic ?";"Who is Sonic's sidekick?";"A) Shadow | B) Tails | C) Amy | D) Knuckles";"A) Shadow | B) Tails | C) Amy | D) Knuckles";"B";"Tails (Miles Prower) accompagne Sonic depuis 1992.";"Tails (Miles Prower) has accompanied Sonic since 1992.";"OpenTDB"
702;Jeux Vidéo;1;"Qui est l'antagoniste principal de la franchise Portal ?";"Who is the main antagonist in the Portal franchise?";"A) Chell | B) GLaDOS | C) Wheatley | D) Rick";"A) Chell | B) GLaDOS | C) Wheatley | D) Rick";"B";"GLaDOS est l'IA qui contrôle le centre d'enrichissement Aperture.";"GLaDOS is the AI controlling the Aperture Enrichment Center.";"OpenTDB"
703;Jeux Vidéo;1;"Sur quelle guerre est basé Call of Duty: Black Ops ?";"What war is Call Of Duty: Black Ops based on?";"A) WW3 | B) Guerre Froide | C) Vietnam | D) WW1";"A) WW3 | B) Cold War | C) Vietnam | D) WW1";"B";"Black Ops se déroule pendant la Guerre Froide.";"Black Ops takes place during the Cold War.";"OpenTDB"
704;Jeux Vidéo;1;"'The Potato Sack' était une promotion pour quel jeu ?";"'The Potato Sack' was a collection of indie games released as a promotion for which game?";"A) Left 4 Dead 2 | B) Portal 2 | C) Half-Life 3 | D) Dota 2";"A) Left 4 Dead 2 | B) Portal 2 | C) Half-Life 3 | D) Dota 2";"B";"Cette collection a servi à promouvoir Portal 2 en 2011.";"This collection promoted Portal 2 in 2011.";"OpenTDB"
705;Jeux Vidéo;1;"Lequel n'est PAS un personnage jouable dans Overwatch (2016) ?";"Which of these is NOT a playable character in the 2016 video game Overwatch?";"A) Mercy | B) Invoker | C) Winston | D) Zenyatta";"A) Mercy | B) Invoker | C) Winston | D) Zenyatta";"B";"Invoker est un personnage de Dota 2, pas d'Overwatch.";"Invoker is a Dota 2 character, not Overwatch.";"OpenTDB"
706;Jeux Vidéo;1;"Dans Super Mario Bros., qui informe Mario que la princesse est dans un autre château ?";"In Super Mario Bros., who informs Mario that the princess is in another castle?";"A) Luigi | B) Toad | C) Yoshi | D) Bowser";"A) Luigi | B) Toad | C) Yoshi | D) Bowser";"B";"Toad apparaît à la fin de chaque niveau pour donner cette info.";"Toad appears at the end of each level to give this info.";"OpenTDB"
707;Jeux Vidéo;1;"Comment s'appelle la franchise 'Mega Man' au Japon ?";"Which name is the 'Mega Man' Franchise known as in Japan?";"A) Paperman | B) Rockman | C) Scissorsman | D) Mega Man";"A) Paperman | B) Rockman | C) Scissorsman | D) Mega Man";"B";"La franchise s'appelle Rockman au Japon depuis 1987.";"The franchise has been called Rockman in Japan since 1987.";"OpenTDB"
708;Jeux Vidéo;1;"Dans Oblivion, quelle guilde donne le cheval Shadowmere ?";"In Oblivion, the horse Shadowmere is given by what guild?";"A) Voleurs | B) Confrérie Noire | C) Guerriers | D) Mages";"A) Thieves | B) Dark Brotherhood | C) Fighters | D) Mages";"B";"Shadowmere est donné lors de la quête de la Confrérie Noire.";"Shadowmere is given during the Dark Brotherhood quest.";"OpenTDB"
709;Jeux Vidéo;1;"Dans Fallout: New Vegas, dans quel casino ne peut-on pas jouer ?";"In Fallout: New Vegas, which casino can you not play in?";"A) The Tops | B) Lucky 38 | C) Gomorrah | D) Ultra-Luxe";"A) The Tops | B) Lucky 38 | C) Gomorrah | D) Ultra-Luxe";"B";"Le Lucky 38 est le casino de Mr. House, fermé au public.";"The Lucky 38 is Mr. House's casino, closed to the public.";"OpenTDB"
710;Jeux Vidéo;1;"En quelle année Hearthstone est-il sorti ?";"In what year was Hearthstone released?";"A) 2011 | B) 2014 | C) 2013 | D) 2012";"A) 2011 | B) 2014 | C) 2013 | D) 2012";"B";"Hearthstone est sorti officiellement en mars 2014.";"Hearthstone was officially released in March 2014.";"OpenTDB"
711;Jeux Vidéo;2;"Sur quel moteur tournait le premier Half-Life ?";"What engine did the original 'Half-Life' run on?";"A) Source | B) GoldSrc | C) Quake | D) Unreal";"A) Source | B) GoldSrc | C) Quake | D) Unreal";"B";"GoldSrc était une version modifiée du moteur Quake.";"GoldSrc was a modified version of the Quake engine.";"OpenTDB"
712;Jeux Vidéo;1;"Qui est le protagoniste principal de Danganronpa 2 ?";"Who is the main protagonist in Danganronpa 2: Goodbye Despair?";"A) Nagito Komaeda | B) Hajime Hinata | C) Makoto Naegi | D) Junko Enoshima";"A) Nagito Komaeda | B) Hajime Hinata | C) Makoto Naegi | D) Junko Enoshima";"B";"Hajime Hinata est le protagoniste du deuxième jeu.";"Hajime Hinata is the protagonist of the second game.";"OpenTDB"
713;Jeux Vidéo;2;"Quel est le nom de la prison dans Half-Life 2 ?";"What is the name of the prison in 'Half-Life 2'?";"A) Great Prospekt | B) Nova Prospekt | C) New Prospect | D) Lesser Prospekt";"A) Great Prospekt | B) Nova Prospekt | C) New Prospect | D) Lesser Prospekt";"B";"Nova Prospekt est une ancienne prison reconvertie par le Cartel.";"Nova Prospekt is a former prison converted by the Combine.";"OpenTDB"
714;Jeux Vidéo;3;"Dans Halo, comment s'appellent les aliens que les humains nomment 'Grunts' ?";"In Halo, what is the name of the race of aliens humans refer to as 'Grunts'?";"A) Huragok | B) Unggoy | C) Sangheili | D) Yanme'e";"A) Huragok | B) Unggoy | C) Sangheili | D) Yanme'e";"B";"Les Unggoy sont les petits aliens respirant du méthane.";"Unggoy are the small methane-breathing aliens.";"OpenTDB"
715;Jeux Vidéo;2;"Dans Terraria, quel objet faut-il pour invoquer Duke Fishron ?";"What item is required to summon Duke Fishron in Terraria?";"A) Poisson suspect | B) Ver truffe | C) Sauterelle royale | D) Limace";"A) Suspicious Fish | B) Truffle Worm | C) King Grasshopper | D) Slug";"B";"Le ver truffe s'utilise comme appât dans l'océan.";"The truffle worm is used as bait in the ocean.";"OpenTDB"
