id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
610;Histoire;2;"Le système de défense stratégique américain pendant la Guerre Froide était surnommé d'après quel film ?";"America's Strategic Defense System during the Cold War was nicknamed after which famous movie?";"A) Jaws | B) Star Wars | C) Blade Runner | D) Alien";"A) Jaws | B) Star Wars | C) Blade Runner | D) Alien";"B";"L'Initiative de défense stratégique était surnommée 'Star Wars'.";"The Strategic Defense Initiative was nicknamed 'Star Wars'.";"OpenTDB"
611;Histoire;3;"Quelle bataille navale fut le tournant du théâtre Pacifique pendant la Seconde Guerre mondiale ?";"Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?";"A) Attaque de Truk | B) Bataille de Midway | C) Pearl Harbor | D) Bataille de la mer de Corail";"A) Attack on Truk Island | B) Battle of Midway | C) Attack on Pearl Harbor | D) Battle of the Coral Sea";"B";"La bataille de Midway en juin 1942 a renversé la situation.";"The Battle of Midway in June 1942 turned the tide.";"OpenTDB"
612;Histoire;3;"En quelle année le Canada a-t-il été fondé ?";"What year was Canada founded in?";"A) 1798 | B) 1867 | C) 1859 | D) 1668";"A) 1798 | B) 1867 | C) 1859 | D) 1668";"B";"Le Canada est devenu un dominion le 1er juillet 1867.";"Canada became a dominion on July 1, 1867.";"OpenTDB"
613;Histoire;1;"Qui a chevauché pour avertir les Minutemen de l'arrivée des Britanniques ?";"Who rode on horseback to warn the Minutemen that the British were coming?";"A) Thomas Paine | B) Paul Revere | C) Henry Longfellow | D) Nathan Hale";"A) Thomas Paine | B) Paul Revere | C) Henry Longfellow | D) Nathan Hale";"B";"Paul Revere a fait sa célèbre chevauchée le 18 avril 1775.";"Paul Revere made his famous ride on April 18, 1775.";"OpenTDB"
614;Histoire;1;"Quel maréchal allemand était surnommé le 'Renard du désert' ?";"Which German field marshal was known as the 'Desert Fox'?";"A) Ernst Busch | B) Erwin Rommel | C) Wolfram von Richthofen | D) Wilhelm List";"A) Ernst Busch | B) Erwin Rommel | C) Wolfram von Richthofen | D) Wilhelm List";"B";"Rommel a commandé l'Afrika Korps en Afrique du Nord.";"Rommel commanded the Afrika Korps in North Africa.";"OpenTDB"
615;Histoire;2;"Quel était le nom de l'invasion planifiée du Japon à la fin de la WWII ?";"What was the name of the planned invasion of Japan towards the end of World War II?";"A) Operation Boarding Party | B) Operation Downfall | C) Operation Ironclad | D) Operation Aflame";"A) Operation Boarding Party | B) Operation Downfall | C) Operation Ironclad | D) Operation Aflame";"B";"Operation Downfall a été annulée après les bombes atomiques.";"Operation Downfall was cancelled after the atomic bombs.";"OpenTDB"
616;Histoire;2;"Quand la République populaire de Chine a-t-elle été fondée ?";"When was the People's Republic of China founded?";"A) 3 avril 1947 | B) 1er octobre 1949 | C) 7 mai 1945 | D) 6 décembre 1950";"A) April 3, 1947 | B) October 1, 1949 | C) May 7, 1945 | D) December 6, 1950";"B";"Mao Zedong a proclamé la RPC le 1er octobre 1949.";"Mao Zedong proclaimed the PRC on October 1, 1949.";"OpenTDB"
617;Histoire;2;"Qui était le dirigeant du Parti communiste de Yougoslavie ?";"Who was the leader of the Communist Party of Yugoslavia?";"A) Karadjordje Petrovic | B) Josip Broz Tito | C) Milos Obilic | D) Aleskandar Petrovic";"A) Karadjordje Petrovic | B) Josip Broz Tito | C) Milos Obilic | D) Aleskandar Petrovic";"B";"Tito a dirigé la Yougoslavie de 1945 à 1980.";"Tito led Yugoslavia from 1945 to 1980.";"OpenTDB"
618;Histoire;3;"Quel empereur byzantin a commandé la construction de Sainte-Sophie ?";"The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?";"A) Constantin IV | B) Justinien Ier | C) Arcadius | D) Théodose le Grand";"A) Constantine IV | B) Justinian I | C) Arcadius | D) Theodosius the Great";"B";"Justinien Ier a fait construire Sainte-Sophie entre 532 et 537.";"Justinian I built Hagia Sophia between 532 and 537.";"OpenTDB"
619;Histoire;1;"La 'Piste des Larmes' résulte de la politique de quel président américain ?";"The 'Trail of Tears' was a result of which United States President's Indian Removal Policy?";"A) Harry S. Truman | B) Andrew Jackson | C) Martin Van Buren | D) John Quincy Adams";"A) Harry S. Truman | B) Andrew Jackson | C) Martin Van Buren | D) John Quincy Adams";"B";"Andrew Jackson a signé l'Indian Removal Act en 1830.";"Andrew Jackson signed the Indian Removal Act in 1830.";"OpenTDB"
620;Histoire;2;"Quel bâtiment a été incendié le 24 août 1812 ?";"Which building was set aflame on August 24th, 1812?";"A) Parlement | B) La Maison Blanche | C) Assemblée nationale | D) Palais de la Nation";"A) Parliament Building | B) The White House | C) Grand National Assembly | D) Palace of the Nation";"B";"Les Britanniques ont brûlé la Maison Blanche pendant la guerre de 1812.";"The British burned the White House during the War of 1812.";"OpenTDB"
621;Histoire;2;"En quelle année le dernier cas naturel de variole a-t-il été documenté ?";"In what year was the last natural case of smallpox documented?";"A) 1982 | B) 1977 | C) 1980 | D) 1990";"A) 1982 | B) 1977 | C) 1980 | D) 1990";"B";"Le dernier cas naturel a été en Somalie en 1977.";"The last natural case was in Somalia in 1977.";"OpenTDB"
622;Histoire;3;"Toussaint Louverture a mené une révolte d'esclaves dans quel pays ?";"Toussaint Louverture led a successful slave revolt in which country?";"A) France | B) Haïti | C) Cuba | D) États-Unis";"A) France | B) Haiti | C) Cuba | D) United States";"B";"Il a mené la révolution haïtienne de 1791 à 1804.";"He led the Haitian Revolution from 1791 to 1804.";"OpenTDB"
623;Histoire;1;"Quand la bataille de la Somme a-t-elle commencé ?";"When did the Battle of the Somme begin?";"A) 1er août 1916 | B) 1er juillet 1916 | C) 2 juillet 1916 | D) 30 juin 1916";"A) August 1st, 1916 | B) July 1st, 1916 | C) July 2nd, 1916 | D) June 30th, 1916";"B";"La bataille de la Somme a débuté le 1er juillet 1916.";"The Battle of the Somme began on July 1, 1916.";"OpenTDB"
624;Histoire;1;"Qui fut le premier président des États-Unis ?";"Who was the first president of the United States?";"A) James Madison | B) George Washington | C) Thomas Jefferson | D) James K. Polk";"A) James Madison | B) George Washington | C) Thomas Jefferson | D) James K. Polk";"B";"George Washington a été président de 1789 à 1797.";"George Washington was president from 1789 to 1797.";"OpenTDB"
625;Histoire;1;"Quel pays a rejoint l'UE en 2013 ?";"What country joined the EU in 2013?";"A) Bulgarie | B) Croatie | C) Slovénie | D) Turquie";"A) Bulgaria | B) Croatia | C) Slovenia | D) Turkey";"B";"La Croatie est devenue le 28e membre de l'UE.";"Croatia became the 28th EU member.";"OpenTDB"
626;Histoire;1;"Laquelle n'était PAS une plage du débarquement en Normandie ?";"Which one of these was not a beach landing site in the Invasion of Normandy?";"A) Gold | B) Silver | C) Juno | D) Sword";"A) Gold | B) Silver | C) Juno | D) Sword";"B";"Les plages étaient Utah, Omaha, Gold, Juno et Sword.";"The beaches were Utah, Omaha, Gold, Juno, and Sword.";"OpenTDB"
627;Histoire;1;"En 1945, sur quelles villes japonaises les États-Unis ont-ils largué des bombes atomiques ?";"During WWII, the US dropped atomic bombs on Hiroshima and which other city?";"A) Kawasaki | B) Nagasaki | C) Tokyo | D) Kagoshima";"A) Kawasaki | B) Nagasaki | C) Tokyo | D) Kagoshima";"B";"Nagasaki a été bombardée le 9 août 1945.";"Nagasaki was bombed on August 9, 1945.";"OpenTDB"
628;Histoire;1;"En quelle année la centrale de Tchernobyl a-t-elle explosé ?";"In what year did the nuclear power plant in Chernobyl melt down?";"A) 1991 | B) 1986 | C) 1975 | D) 1998";"A) 1991 | B) 1986 | C) 1975 | D) 1998";"B";"La catastrophe de Tchernobyl s'est produite le 26 avril 1986.";"The Chernobyl disaster occurred on April 26, 1986.";"OpenTDB"
629;Histoire;1;"Qui a mené la Révolution communiste en Russie ?";"Who led the Communist Revolution of Russia?";"A) Joseph Staline | B) Vladimir Lénine | C) Vladimir Poutine | D) Mikhaïl Gorbatchev";"A) Joseph Stalin | B) Vladimir Lenin | C) Vladimir Putin | D) Mikhail Gorbachev";"B";"Lénine a dirigé la révolution d'Octobre en 1917.";"Lenin led the October Revolution in 1917.";"OpenTDB"
